,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
132,Data Structures,2020-08-20 16:23:27.417892,7.1 Linear Search Algorithm with example | linear search in C | Data structures,C46QfTjVCNU,2019-06-27T09:57:33Z,PT15M9S,90291,1672,60
133,Data Structures,2020-08-20 16:23:27.417894,1.3 Array Operations | deletion from array | full explanation with code | data structure,CMbpZK_xqoc,2019-07-25T11:50:37Z,PT14M59S,38998,665,12
134,Data Structures,2020-08-20 16:23:27.417896,Linked Lists | GATE CS 2020 | Programming &amp; Data Structures | Gradeup,WZohENYqY4A,2020-01-13T12:18:12Z,PT1H38M37S,4387,130,5
135,Data Structures,2020-08-20 16:23:27.417899,Bubble Sort Algorithm | Data Structures | by Mr. Srinivas,8Ug-a3IhUaE,2016-10-08T04:09:56Z,PT13M39S,223905,2621,80
136,Data Structures,2020-08-20 16:23:27.417903,#7 Linked List Implementation in Java Part 3 | Data Structures,tZxPqhkRLiw,2017-12-24T04:30:06Z,PT8M25S,62269,861,7
137,Data Structures,2020-08-20 16:23:27.417905,Data Structures and Algorithms in Python | Python Programming Tutorial | Python Training | Edureka,xOuRE3IuEB8,2020-01-02T04:30:05Z,PT37M11S,77604,1571,71
138,Data Structures,2020-08-20 16:23:27.417907,Lecture 1-  Data Structures And Analysis Of Algorithms,0qKrfT1L-1U,2020-03-09T14:54:54Z,PT15M26S,14448,689,11
139,Data Structures,2020-08-20 16:23:27.417910,0/1 knapsack problem-Dynamic Programming | Data structures and algorithms,PfkBS9qIMRE,2019-03-06T10:00:28Z,PT27M31S,110521,1774,90
140,Data Structures,2020-08-20 16:23:27.417913,Data Structures using C++: Lesson 2 - Array based Lists,vsCfgbfhyWg,2013-12-01T00:08:02Z,PT34M39S,39191,253,7
141,Data Structures,2020-08-20 16:23:27.417915,What is an Algorithm ? | Data Structures and Algorithms,sk0yrh3DNXo,2019-02-19T14:00:08Z,PT8M26S,20513,455,11
142,Data Structures,2020-08-20 16:23:27.417917,Learn Programming Visually | Data Structures | Algorithms | C | Pointers | Python,9jIRnyAJDwM,2020-03-09T16:07:48Z,PT34S,12030,38,1
143,Data Structures,2020-08-20 16:23:27.417919,Types of Data Structure Lec-2|data structure by zeenat hasan in Hindi,WM1jtUxG9B4,2019-02-24T05:50:59Z,PT12M41S,40059,1076,29
